"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 4064.051
2 2115.93
3 1591.633
4 1291.644
5 1117.906
6 1035.028
7 1003.447
8 1000.396
9 1014.366
10 1049.174
11 1087.35
12 1127.756
13 1166.595
14 1201.881
15 1230.996
16 1253.022
17 1266.707
18 1269.802
19 1259.661
20 1234.826
21 1198.178
22 1155.466
23 1114.554
24 1083.406
25 1064.653
26 1055.392
27 1048.454
28 1044.001
29 1042.371
30 1044.163
31 1048.6
32 1053.227
33 1056.311
34 1058.414
35 1058.814
36 1058.348
37 1058.012
38 1058.114
39 1058.643
40 1059.457
41 1060.342
42 1061.106
43 1061.523
44 1061.618
45 1061.408
46 1061.026
47 1060.513
48 1060.023
49 1059.621
50 1059.352
51 1059.226
52 1059.216
53 1059.303
54 1059.465
55 1059.672
56 1059.905
57 1060.145
58 1060.382
59 1060.61
60 1060.825
