"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 6702.842
2 2290.677
3 1729.119
4 1292.688
5 988.563
6 758.0233
7 613.4317
8 513.923
9 447.3811
10 401.7626
11 372.482
12 353.3912
13 340.5822
14 332.0118
15 326.5289
16 323.626
17 323.1669
18 324.419
19 327.1877
20 330.3234
21 333.1166
22 335.1859
23 336.4652
24 336.9972
25 336.9516
26 336.481
27 335.7051
28 334.7444
29 333.9005
30 332.9485
31 331.9177
32 330.9316
33 329.9928
34 329.133
35 328.3569
36 327.673
37 327.0722
38 326.5557
39 326.1216
40 325.7543
41 325.47
42 325.2478
43 325.0779
44 324.9501
45 324.8574
46 324.793
47 324.7522
