"lift-rfile"
"Iteration" "lift"
("Iteration" "lift")
1 7995.904
2 4734.291
3 4165.352
4 3900.372
5 3856.206
6 4095.136
7 4458.97
8 4885.035
9 5282.246
10 5701.666
11 6073.192
12 6399.067
13 6675.721
14 6902.221
15 7061.119
16 7123.981
17 7060.647
18 6834.113
19 6428.45
20 5858.217
21 5189.703
22 4522.479
23 3969.746
24 3610.797
25 3457.823
26 3468.972
27 3568.538
28 3740.243
29 3973.927
30 4252.896
31 4551.302
32 4832.053
33 5071.553
34 5262.003
35 5414.134
36 5537.724
37 5635.048
38 5713.783
39 5776.09
40 5823.755
41 5856.757
42 5875.589
43 5881.077
44 5875.707
45 5862.068
46 5843.34
47 5822.282
48 5801.65
49 5783.329
50 5768.565
51 5757.982
52 5751.583
53 5749.055
54 5749.874
55 5753.327
56 5758.744
57 5765.453
58 5772.859
59 5780.457
60 5787.829
